Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreateApp,Chrome 62.0.3202.94,,2018-06-18 17:21:33,2018-06-18 17:25:06,3m - 32.731s,FAILED
,,,,,,
Test Cases/CreateApp/CreatAppNodata,Chrome 62.0.3202.94,,2018-06-18 17:21:34,2018-06-18 17:21:44,9.295s,PASSED
appmanage.startTest.openbrowser,Chrome 62.0.3202.94,,2018-06-18 17:21:35,2018-06-18 17:21:42,6.894s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:21:42,2018-06-18 17:21:42,0.441s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:21:42,2018-06-18 17:21:42,0.140s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:21:42,2018-06-18 17:21:42,0.125s,PASSED
selectOptionByIndex,Chrome 62.0.3202.94,,2018-06-18 17:21:42,2018-06-18 17:21:43,0.315s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:21:43,2018-06-18 17:21:43,0.112s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:21:43,2018-06-18 17:21:43,0.118s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:21:43,2018-06-18 17:21:43,0.346s,PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2018-06-18 17:21:43,2018-06-18 17:21:43,0.076s,PASSED
appmanage.startTest.closebrowser,Chrome 62.0.3202.94,,2018-06-18 17:21:43,2018-06-18 17:21:44,0.290s,PASSED
,,,,,,
Test Cases/CreateApp/CreateAppInvalid,Chrome 62.0.3202.94,,2018-06-18 17:21:44,2018-06-18 17:22:20,36.749s,FAILED
appmanage.startTest.openbrowser,Chrome 62.0.3202.94,,2018-06-18 17:21:44,2018-06-18 17:21:47,3.065s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:21:47,2018-06-18 17:21:47,0.290s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:21:47,2018-06-18 17:21:47,0.143s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:21:47,2018-06-18 17:21:47,0.193s,PASSED
selectOptionByIndex,Chrome 62.0.3202.94,,2018-06-18 17:21:47,2018-06-18 17:21:48,0.186s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:21:48,2018-06-18 17:21:48,0.114s,PASSED
