Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
EditApp,Chrome 62.0.3202.94,,2018-06-18 17:48:38,2018-06-18 17:51:34,2m - 56.087s,FAILED
,,,,,,
Test Cases/EditApp/EditAppNodata,Chrome 62.0.3202.94,,2018-06-18 17:48:39,2018-06-18 17:48:48,9.056s,PASSED
appmanage.startTest.openbrowser,Chrome 62.0.3202.94,,2018-06-18 17:48:40,2018-06-18 17:48:46,6.483s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:48:46,2018-06-18 17:48:46,0.191s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:48:46,2018-06-18 17:48:47,0.459s,PASSED
clearText,Chrome 62.0.3202.94,,2018-06-18 17:48:47,2018-06-18 17:48:47,0.113s,PASSED
clearText,Chrome 62.0.3202.94,,2018-06-18 17:48:47,2018-06-18 17:48:47,0.090s,PASSED
selectOptionByIndex,Chrome 62.0.3202.94,,2018-06-18 17:48:47,2018-06-18 17:48:47,0.254s,PASSED
clearText,Chrome 62.0.3202.94,,2018-06-18 17:48:47,2018-06-18 17:48:47,0.081s,PASSED
clearText,Chrome 62.0.3202.94,,2018-06-18 17:48:47,2018-06-18 17:48:47,0.084s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:48:47,2018-06-18 17:48:48,0.448s,PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2018-06-18 17:48:48,2018-06-18 17:48:48,0.083s,PASSED
appmanage.startTest.closebrowser,Chrome 62.0.3202.94,,2018-06-18 17:48:48,2018-06-18 17:48:48,0.182s,PASSED
,,,,,,
Test Cases/EditApp/EditAppInvalid,Chrome 62.0.3202.94,,2018-06-18 17:48:48,2018-06-18 17:49:25,36.981s,FAILED
appmanage.startTest.openbrowser,Chrome 62.0.3202.94,,2018-06-18 17:48:48,2018-06-18 17:48:52,3.296s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:48:52,2018-06-18 17:48:52,0.167s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:48:52,2018-06-18 17:48:52,0.324s,PASSED
clearText,Chrome 62.0.3202.94,,2018-06-18 17:48:52,2018-06-18 17:48:52,0.080s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:48:52,2018-06-18 17:48:52,0.124s,PASSED
clearText,Chrome 62.0.3202.94,,2018-06-18 17:48:52,2018-06-18 17:48:52,0.081s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:48:52,2018-06-18 17:48:53,0.137s,PASSED
selectOptionByIndex,Chrome 62.0.3202.94,,2018-06-18 17:48:53,2018-06-18 17:48:53,0.210s,PASSED
clearText,Chrome 62.0.3202.94,,2018-06-18 17:48:53,2018-06-18 17:48:53,0.085s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:48:53,2018-06-18 17:48:53,0.107s,PASSED
clearText,Chrome 62.0.3202.94,,2018-06-18 17:48:53,2018-06-18 17:48:53,0.123s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:48:53,2018-06-18 17:48:53,0.103s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:48:53,2018-06-18 17:48:54,0.495s,PASSED
verifyElementPresent,Chrome 62.0.3202.94,,2018-06-18 17:48:54,2018-06-18 17:49:25,31.374s,FAILED
